,postal_code,less_high_school_perc,high_school_perc,less_1_college_perc,more_1_college_perc,associate_perc,bachelor_perc,master_perc,professional_degree_perc,doctorate_perc,population,less_high_school,high_school,less_1_college,more_1_college,associate,bachelor,master,professional_degree,doctorate
125,10044,13.6,15.7,4.7,6.4,3.3,20.9,18.2,7.7,9.5,12346,1679.056,1938.322,580.262,790.144,407.418,2580.314,2246.972,950.642,1172.87
126,10065,1.6,7.6,1.7,6.4,2.7,38.8,21.8,13.5,5.8,32797,524.752,2492.572,557.549,2099.008,885.519,12725.236,7149.746,4427.595,1902.226
127,10075,2.3,5.9,1.2,7.2,2.9,42.9,21.8,11.6,4.3,24849,571.527,1466.091,298.188,1789.128,720.621,10660.221,5417.082,2882.484,1068.507
128,11101,20.7,21.4,3.8,11.8,5.8,23.9,9.4,2.1,1.1,25537,5286.159,5464.918,970.406,3013.366,1481.146,6103.343,2400.478,536.277,280.907
129,11102,18.4,22.3,2,10.4,5.6,28.3,9.1,2.8,1.2,34529,6353.336,7699.967,690.58,3591.016,1933.624,9771.707,3142.139,966.812,414.348
130,11103,17.3,21.2,4.2,7.3,8.6,28.2,11.4,1.3,0.6,37745,6529.885,8001.94,1585.29,2755.385,3246.07,10644.09,4302.93,490.685,226.47
131,11104,12.4,25.2,4.5,7.3,9.6,27.2,10.7,2.6,0.6,25729,3190.396,6483.708,1157.805,1878.217,2469.984,6998.288,2753.003,668.954,154.374
132,11105,15.8,20.7,3.1,11,6.5,28.3,11.7,2.1,0.7,36190,5718.02,7491.33,1121.89,3980.9,2352.35,10241.77,4234.23,759.99,253.33
133,11106,19.1,21.9,3.2,9.9,6.8,23.3,11.4,2.6,1.8,36869,7041.979,8074.311,1179.808,3650.031,2507.092,8590.477,4203.066,958.594,663.642
134,10128,4.4,6.6,1.4,6.8,2.9,39.6,22.5,11.7,4.2,60121,2645.324,3967.986,841.694,4088.228,1743.509,23807.916,13527.225,7034.157,2525.082
135,11691,26.9,28.3,4,12.8,6.4,13.5,5.9,1.3,0.8,61091,16433.479,17288.753,2443.64,7819.648,3909.824,8247.285,3604.369,794.183,488.728
136,11692,24.3,28.7,5,14.8,7.8,13,4.1,1.9,0.2,17674,4294.782,5072.438,883.7,2615.752,1378.572,2297.62,724.634,335.806,35.348
137,11693,19,30.3,4.9,14.6,7.4,17.2,4,1.8,0.8,11335,2153.65,3434.505,555.415,1654.91,838.79,1949.62,453.4,204.03,90.68
138,11694,12.1,22.7,5.5,13.7,8.4,19.8,12.6,4.4,0.7,21725,2628.725,4931.575,1194.875,2976.325,1824.9,4301.55,2737.35,955.9,152.075
139,11697,5.5,27.4,7,9.1,6.8,24.9,15,3.6,0.7,4223,232.265,1157.102,295.61,384.293,287.164,1051.527,633.45,152.028,29.561
140,11201,7.8,10.8,2.1,6.7,3.2,32.8,21.3,11.7,3.6,54668,4264.104,5904.144,1148.028,3662.756,1749.376,17931.104,11644.284,6396.156,1968.048
141,11203,15,35.5,3.9,16.6,8.8,13.4,5.5,0.8,0.5,79572,11935.8,28248.06,3103.308,13208.952,7002.336,10662.648,4376.46,636.576,397.86
142,11204,27.7,31.1,2.5,9.7,5.6,14.8,6.6,1.6,0.5,80963,22426.751,25179.493,2024.075,7853.411,4533.928,11982.524,5343.558,1295.408,404.815
143,11205,20,22.1,2.8,11.1,4.1,22,13.4,3.3,1.3,43002,8600.4,9503.442,1204.056,4773.222,1763.082,9460.44,5762.268,1419.066,559.026
144,11206,34.6,26.1,3,12.3,5,13.8,4,0.8,0.3,81525,28207.65,21278.025,2445.75,10027.575,4076.25,11250.45,3261,652.2,244.575
145,11207,29.6,33.1,3.4,13.6,7.3,9,3.3,0.4,0.3,92491,27377.336,30614.521,3144.694,12578.776,6751.843,8324.19,3052.203,369.964,277.473
146,11208,23.9,45.4,2.5,12.7,5.3,7.4,2.4,0.1,0.2,93107,22252.573,42270.578,2327.675,11824.589,4934.671,6889.918,2234.568,93.107,186.214
147,11209,13.4,23,3.4,11.1,5.3,25.6,13.1,3.6,1.5,72623,9731.482,16703.29,2469.182,8061.153,3849.019,18591.488,9513.613,2614.428,1089.345
148,11210,10.8,34,4.2,12,6.4,21.1,9,1.7,0.8,65302,7052.616,22202.68,2742.684,7836.24,4179.328,13778.722,5877.18,1110.134,522.416
149,11211,20.7,20.7,3,11.4,3.4,26.8,10.1,2.6,1.1,93271,19307.097,19307.097,2798.13,10632.894,3171.214,24996.628,9420.371,2425.046,1025.981
150,11212,25,38.3,4.1,15.2,7.2,7.5,2.2,0.4,0.1,84520,21130,32371.16,3465.32,12847.04,6085.44,6339,1859.44,338.08,84.52
151,11213,21.2,33,4.5,14.9,6.4,12.7,5.9,1,0.4,62059,13156.508,20479.47,2792.655,9246.791,3971.776,7881.493,3661.481,620.59,248.236
152,11214,28.3,32.2,3.1,8,5.8,15.5,5.4,1.1,0.6,83156,23533.148,26776.232,2577.836,6652.48,4823.048,12889.18,4490.424,914.716,498.936
153,11215,8.3,9.4,1.6,8.2,3.1,34.7,23.4,7.8,3.5,68891,5717.953,6475.754,1102.256,5649.062,2135.621,23905.177,16120.494,5373.498,2411.185
154,11216,17.6,24.8,2.7,13.8,6.2,21.4,10.9,1.3,1.1,53783,9465.808,13338.184,1452.141,7422.054,3334.546,11509.562,5862.347,699.179,591.613
155,11217,13.2,11.6,2,7.5,4,32.3,19.7,7.7,2.1,38787,5119.884,4499.292,775.74,2909.025,1551.48,12528.201,7641.039,2986.599,814.527
156,11218,19.9,21.8,2.8,9.1,6.5,22.5,12.7,2.9,1.8,74758,14876.842,16297.244,2093.224,6802.978,4859.27,16820.55,9494.266,2167.982,1345.644
157,11219,34.5,33.5,2.2,8.6,4.5,11.3,4.1,0.8,0.4,96971,33454.995,32485.285,2133.362,8339.506,4363.695,10957.723,3975.811,775.768,387.884
158,11220,49,20.4,1.6,6.2,4.3,12.7,4.4,0.8,0.6,103089,50513.61,21030.156,1649.424,6391.518,4432.827,13092.303,4535.916,824.712,618.534
159,11221,30.9,27.8,2.6,13.9,6,12.9,4.7,0.8,0.4,81321,25128.189,22607.238,2114.346,11303.619,4879.26,10490.409,3822.087,650.568,325.284
160,11222,9.7,18.5,6.2,7.4,7.9,31.3,14.9,3.2,1,34186,3316.042,6324.41,2119.532,2529.764,2700.694,10700.218,5093.714,1093.952,341.86
161,11223,23.2,34.5,3.1,8.8,6.3,15.9,6.4,1.2,0.7,74606,17308.592,25739.07,2312.786,6565.328,4700.178,11862.354,4774.784,895.272,522.242
162,11224,22.1,29.3,3.3,9.6,6.6,19.2,7.7,1.5,0.7,42535,9400.235,12462.755,1403.655,4083.36,2807.31,8166.72,3275.195,638.025,297.745
163,11225,16.9,28.9,2.8,16.7,6.1,18.1,8.2,1.6,0.6,59182,10001.758,17103.598,1657.096,9883.394,3610.102,10711.942,4852.924,946.912,355.092
164,11226,20.2,33.5,3.8,15.5,5.1,14.6,5.8,1.1,0.4,98325,19861.65,32938.875,3736.35,15240.375,5014.575,14355.45,5702.85,1081.575,393.3
165,11228,21.6,31.1,2.9,9.9,6.1,16.6,7.9,3,0.9,43929,9488.664,13661.919,1273.941,4348.971,2679.669,7292.214,3470.391,1317.87,395.361
