,postal_code,Food_Services,Active_Life,Arts_and_Entertainment,Automotive,Beauty_and_Spas,Education,Event_Planning and Services,Financial_Services,Health_and_Medical,Home_Services,Hotels_and_Travel,Local_Services,Nightlife,Pets_Services,Professional_Services,Real_Estate,Restaurants,Shopping
150,11212,-0.0,1.0,-2.0,5.0,7.0,1.0,1.0,3.0,9.0,-3.0,4.0,6.0,-12.0,-1.0,3.0,-1.0,-40.0,9.0
151,11213,-7.0,4.0,4.0,5.0,-7.0,-1.0,-0.0,-2.0,2.0,1.0,0.0,-5.0,4.0,2.0,-1.0,-2.0,8.0,-1.0
152,11214,6.0,-1.0,3.0,1.0,8.0,0.0,2.0,3.0,12.0,1.0,-1.0,6.0,3.0,-1.0,1.0,1.0,15.0,12.0
153,11215,-25.0,-9.0,2.0,-10.0,-22.0,1.0,-3.0,1.0,-11.0,-11.0,-7.0,-9.0,-10.0,-4.0,-3.0,-0.0,-39.0,-27.0
154,11216,0.0,3.0,3.0,6.0,3.0,-2.0,0.0,2.0,13.0,5.0,1.0,3.0,13.0,-2.0,4.0,2.0,13.0,12.0
155,11217,-6.0,-13.0,-7.0,-3.0,-23.0,-2.0,2.0,1.0,3.0,-1.0,2.0,1.0,-7.0,-4.0,6.0,-2.0,-15.0,-48.0
156,11218,26.0,3.0,4.0,-11.0,18.0,3.0,2.0,5.0,17.0,-3.0,2.0,10.0,11.0,-5.0,5.0,4.0,9.0,24.0
157,11219,22.0,4.0,-0.0,-5.0,5.0,3.0,0.0,0.0,-8.0,-1.0,0.0,-4.0,2.0,1.0,-1.0,-1.0,48.0,16.0
158,11220,-15.0,2.0,1.0,-3.0,-3.0,-2.0,1.0,-1.0,-0.0,-7.0,-1.0,-3.0,7.0,1.0,-3.0,0.0,-34.0,1.0
159,11221,4.0,4.0,-1.0,12.0,14.0,1.0,-2.0,5.0,18.0,6.0,-0.0,-3.0,2.0,-2.0,5.0,2.0,17.0,3.0
160,11222,20.0,5.0,6.0,9.0,26.0,5.0,5.0,5.0,29.0,9.0,6.0,16.0,-4.0,4.0,9.0,4.0,72.0,29.0
161,11223,5.0,3.0,5.0,-6.0,1.0,2.0,-7.0,-1.0,-3.0,-4.0,2.0,2.0,-7.0,-8.0,1.0,-0.0,-2.0,2.0
162,11224,7.0,-10.0,-5.0,-5.0,1.0,1.0,-4.0,-0.0,2.0,1.0,-3.0,2.0,-2.0,1.0,3.0,-0.0,-4.0,8.0
163,11225,-8.0,-4.0,-1.0,6.0,2.0,-1.0,-2.0,0.0,3.0,3.0,1.0,2.0,5.0,2.0,2.0,2.0,7.0,-5.0
164,11226,-19.0,-2.0,-0.0,1.0,-3.0,-1.0,-2.0,1.0,-5.0,-4.0,-2.0,-3.0,1.0,1.0,-2.0,-1.0,-33.0,-12.0
165,11228,-5.0,-1.0,-2.0,2.0,5.0,-0.0,1.0,-1.0,3.0,3.0,2.0,-4.0,-0.0,0.0,1.0,-0.0,25.0,-0.0
166,11229,-5.0,-1.0,1.0,10.0,6.0,-2.0,1.0,0.0,2.0,-2.0,1.0,-0.0,10.0,5.0,-2.0,1.0,30.0,-10.0
167,11230,5.0,3.0,3.0,-5.0,10.0,-1.0,1.0,2.0,-1.0,-7.0,-2.0,-1.0,14.0,4.0,-1.0,1.0,34.0,13.0
168,11231,-5.0,1.0,1.0,3.0,17.0,2.0,-1.0,3.0,16.0,-0.0,2.0,6.0,3.0,1.0,3.0,2.0,7.0,7.0
169,11232,-6.0,-2.0,5.0,-16.0,6.0,1.0,-2.0,0.0,7.0,-16.0,2.0,1.0,2.0,-2.0,-2.0,2.0,7.0,-6.0
170,11233,-1.0,0.0,2.0,1.0,-12.0,2.0,-1.0,2.0,12.0,2.0,2.0,-2.0,8.0,-1.0,0.0,1.0,9.0,11.0
171,11234,8.0,-6.0,2.0,7.0,11.0,4.0,-3.0,-2.0,8.0,-5.0,2.0,-1.0,-4.0,-7.0,3.0,0.0,-8.0,-18.0
172,11235,-9.0,-13.0,1.0,-8.0,-12.0,-7.0,-4.0,-5.0,-34.0,-13.0,-9.0,-13.0,8.0,-4.0,-14.0,-2.0,9.0,-27.0
173,11236,11.0,5.0,-5.0,-0.0,18.0,3.0,0.0,4.0,17.0,-4.0,0.0,6.0,-4.0,2.0,3.0,2.0,-3.0,19.0
174,11237,-8.0,-1.0,-2.0,3.0,2.0,-3.0,-6.0,1.0,-2.0,-2.0,0.0,4.0,-7.0,0.0,-2.0,1.0,-27.0,-3.0
175,11238,-3.0,5.0,2.0,5.0,15.0,6.0,-3.0,2.0,22.0,7.0,7.0,6.0,-14.0,1.0,2.0,4.0,12.0,24.0
176,11239,2.0,-0.0,2.0,3.0,3.0,-0.0,1.0,-1.0,-4.0,5.0,1.0,7.0,1.0,-0.0,1.0,1.0,1.0,-25.0
