,female,household_size,inc_10000,inc_124999,inc_14999,inc_149999,inc_19999,inc_199999,inc_200000,inc_24999,inc_29999,inc_34999,inc_39999,inc_44999,inc_49999,inc_59999,inc_74999,inc_99999,male,median_age,median_income,population,postal_code,Unnamed: 0,less_high_school_perc,high_school_perc,less_1_college_perc,more_1_college_perc,associate_perc,bachelor_perc,master_perc,professional_degree_perc,doctorate_perc,less_high_school,high_school,less_1_college,more_1_college,associate,bachelor,master,professional_degree,doctorate
79,7447,2.5,342,658,355,336,185,355,85,200,271,312,230,230,229,612,486,915,7403,36.2,58600,14850,10470,79,16.2,31.0,3.3,15.5,6.5,16.0,8.5,2.3,0.8,2405.7,4603.5,490.05,2301.75,965.25,2376.0,1262.25,341.55,118.8
80,11598,2.1,667,998,265,634,302,547,944,287,398,202,290,314,364,740,799,1229,10432,43.6,71798,22030,10471,80,8.4,18.4,3.9,10.2,4.7,26.1,16.8,7.2,4.3,1850.52,4053.52,859.17,2247.06,1035.41,5749.83,3701.04,1586.16,947.29
81,35620,3.3,3541,890,2105,474,2020,378,144,1563,1193,1103,946,1061,841,1668,1422,1657,33278,30.4,30288,68898,10472,81,39.1,28.4,3.0,12.2,5.7,8.8,2.3,0.3,0.1,26939.118,19567.032,2066.94,8405.556,3927.186,6063.024,1584.654,206.694,68.898
82,33043,2.9,2803,1416,1766,590,1897,653,255,1265,1008,1233,845,956,719,1298,1711,1940,25617,36.1,35866,58660,10473,82,25.8,29.3,3.0,16.2,8.6,12.3,4.2,0.5,0.1,15134.28,17187.38,1759.8,9502.92,5044.76,7215.18,2463.72,293.3,58.66
83,6310,3.1,793,110,446,31,236,0,0,307,276,206,307,152,110,241,283,158,6209,29.1,25676,12519,10474,83,37.4,27.2,3.9,11.2,10.4,7.8,1.8,0.4,0.0,4682.106,3405.168,488.241,1402.128,1301.976,976.482,225.342,50.076,0.0
84,23703,2.3,1578,1268,875,528,1141,688,240,1243,933,1249,1303,934,687,1663,1452,2210,19528,46.5,43629,43231,10475,84,16.2,28.8,5.2,17.4,8.6,15.1,7.6,0.8,0.2,7003.422,12450.528,2248.012,7522.194,3717.866,6527.881,3285.556,345.848,86.462
85,7772,2.7,183,598,238,578,117,597,328,240,165,254,151,196,138,356,361,638,6728,40.9,81709,14500,11004,85,10.7,24.9,2.7,8.8,8.0,26.0,12.3,4.7,1.8,1551.5,3610.5,391.5,1276.0,1160.0,3770.0,1783.5,681.5,261.0
86,1311,1.3,34,205,82,67,84,60,123,95,98,31,51,94,57,113,134,238,744,81.1,64300,2055,11005,86,2.5,12.6,7.9,19.6,2.5,25.2,19.6,8.8,1.4,51.375,258.93,162.345,402.78,51.375,517.86,402.78,180.84,28.77
87,11234,1.9,751,963,493,506,595,1043,2272,410,372,333,226,507,414,454,604,1081,10732,34.7,81671,21966,10001,87,8.1,8.4,2.5,8.4,3.2,37.5,21.4,7.3,3.1,1779.246,1845.144,549.15,1845.144,702.912,8237.25,4700.724,1603.518,680.946
88,42389,2.5,5371,1752,3381,1038,2671,1017,1727,2183,1657,1406,1048,1096,902,2393,2445,2380,39802,39.8,33218,82191,10002,88,36.1,20.1,2.2,8.4,4.0,20.8,5.6,1.9,0.9,29670.951,16520.391,1808.202,6904.044,3287.64,17095.728,4602.696,1561.629,739.719
89,29868,1.8,2049,2642,737,1882,990,2765,5498,803,757,607,508,944,498,1610,2045,3170,27442,32.3,92540,57310,10003,89,4.0,7.0,2.1,7.4,1.9,42.9,21.4,9.2,4.2,2292.4,4011.7,1203.51,4240.94,1088.89,24585.99,12264.34,5272.52,2407.02
90,1338,1.9,33,236,20,115,31,178,451,17,9,40,35,19,0,56,28,162,1469,33.1,129313,2807,10004,90,1.9,6.2,0.7,8.7,4.0,41.6,21.9,13.2,1.7,53.333,174.034,19.649,244.209,112.28,1167.712,614.733,370.524,47.719
91,3359,1.8,259,538,21,251,93,588,1009,40,30,74,0,46,47,176,237,316,3463,28.6,124670,6822,10005,91,2.3,1.0,0.7,6.7,0.7,47.8,23.9,12.9,4.0,156.906,68.22,47.754,457.074,47.754,3260.916,1630.458,880.038,272.88
